0,comment
0,"['外形', '外观', '外形', '屏幕显示', '范儿', '恒温', '效果', '精准', '控制', '水温', '洗澡', '舒适', '噪音', '大小', '运行', '出水', '速度', '热水', '出水', '很快', '开', '热', '安装', '服务', '安装', '态度', '高', '耗能', '情况', '能耗', '控制', '很好', '省气', '省心']"
1,"['热水器', '非常', '外形', '非常', '简洁', '银色', '磨砂', '质地', '加上', '黑色', '按键', '非常', '高级', '水温', '调节', '稳定', '不会', '忽冷忽热', '水量', '很大', '加热', '很快', '关掉', '开', '很快', '热水', '衔接', '热水器', '工作', '状态', '声音', '不大', '没有', '噪音', '按键', '三个', '操作', '非常', '方便', '不得不', '赞', '客服', '下单', '一直', '客服', '联系', '确定', '送货', '安装时间', '尤其', '新冠', '病毒', '隔离', '特殊', '时期', '送货', '安装', '非常感谢']"
2,"['热水器', '包装', '完好', '没有', '损坏', '物流', '特', '超快', '下单', '不到', '24', '小时', '免费', '送货到', '家', '辛苦', '快递', '小哥', '到货', '笫', '二天', '专业', '人员', '安装', '热水器', '外观', '漂亮', '恒温', '效果', '显得', '特别', '大气', '安装', '厨房', '洗碗', '洗', '锅', '洗菜', '专用', '一款', '老式', '热水器', '水', '压低', '点', '火', '这款', '低', '水压', '能用', '热水器', '水龙头', '一开', '热水', '水温', '调节', '方便', '质量', '杠杠', '开心', '一次', '购物']"
3,"['外形', '外观', '全新', '巨幕', '大屏', '高端', '颜值', '升级', '精钢', '拉丝', '覆膜', '面板', '美观', '易', '清洁', '经久耐用', '时尚', '大气', 'LED', '数码', '显示', '操作', '清晰', '加热', '状态', '一目了然', '恒温', '效果', '恒温', '芯', '自动', '调节', '水温', '精准', '控温', '更', '舒适', '恒温', '芯', '燃气', '比例阀', '变频', '恒温', '技术', '水温', '变动', '温差', '控制', 'plusmn', ';', '℃', '人体', '几乎', '感觉', '不到', '温度', '变化', '沐浴', '不再', '忽冷忽热', '恒温', '芯', '感知', '水压', '变动', '自动', '调节', '水温', '使出', '水流量', '稳定', '更好', '保障', '恒温', '用水', '情况', '匹配', '热', '负荷', '输出', '自动', '调节', '升数', '无需', '手动', '调节', '沐浴', '洗漱', '洗菜', '洗衣', '用水', '噪音', '大小', '采用', '静音', '技术', '工作', '状态', '声音', '运行', '静音', '出水', '速度', '出水', '速度', '很快', '开', '热', '安装', '服务', '疫情', '安装', '佩戴', '口罩', '脚', '穿鞋', '套', '进门', '安装', '技术', '态度', '服务周到', '耗能', '情况', '专利', '测焰', '稳燃', '高效', '燃烧', '节能', '省气', '创新', 'V', '型', '火', '排', '燃烧', '更', '充分', '减少', 'CO', '排放', '沐浴', '更', '安全', '舒心', '二级', '能效', '高', '热水', '输出', '率', '节能', '环保', '额定功率', '42', 'W']"
4,"['噪音', '大小', '接受', '耗能', '情况', '没', '注意', '恒温', '效果', '调', '温度', '起来', '感觉', '没什么', '变化', '出水', '速度', '水', '很大', '洗澡', '舒服', '外形', '外观', '美观', '大气', '安装', '服务', '安装', '主要', '水管', '比较', '长']"
5,"['月', '13', '曰', '单', '战役', '激烈', '进行', '听说', '快递', '运营', '果断', '下单', '全省', '封', '期待', '心情', '一直', '络', '月', '16', '日', '战段', '取得', '决定性', '胜利', '役', '情', '走', '快递', '外观', '高端', '大气', '上档次', '便', '简单', '功能强大', '自已', '搞', '维修', '安装', '品牌', '一如既往', '2005', '年', '买', '空调', '制冷', '依旧', '强劲']"
6,"['外形', '外观', '简约', '风格', '没有', '功能', '燃气', '热水器', '安全', '节能', '款', '符合', '要求', '恒温', '效果', '恒温', '效果', '试', '一下', '不错', '噪音', '大小', '噪音', '非常', '一直', '受', '家里人', '好评', '噪音', '太', '出水', '速度', '家', '农村', '水压', '非常', '足', '出水', '效果', '非常', '不错', '安装', '服务', '疫情', '安装', '方便', '动手', '安装', '简单', '动手', '没有', '难度', '耗能', '情况', '国家', '能耗', '二级', '应该', '行', '原来', '热水器', '三级', '应该', '强', '很多']"
7,"['外形', '外观', '屏幕', '很大', '触摸屏', '操作', '非常', '恒温', '效果', '温度', '稳定', '非常', '舒适', '洗浴', '感受', '噪音', '大小', '音量', '排气', '效果', '出水', '速度', '出水', '很快', '基本', '安装', '服务', '不错', '没有', '事先', '需要', '辅助材料', '告诉', '清楚', '安装', '配件', '价格', '高', '耗能', '情况', '节能', '环保', '非常', '省', '电']"
8,"['旧房', '改造', '一直', '太阳能', '洗澡', '成', '问题', '想着', '燃气', '方便', '省事', '选', '自营', '热水器', '品牌', '放心', '物流', '速度', '自然', '没', '的说', '外观设计', '简洁', '大方', '温度', '显示', '清晰', '操作', '非常', '简单', '水', '快', '噪音', '情况', '接受', '范围', '温度', '水压', '变化', '没有', '起伏', '能耗', '行', '安装', '服务', '到位']"
